lg_country_code,country_name,commissions_delivery_fee_pct
at,Austria,28.335133128433547
bd,Bangladesh,19.018116791576851
cz,Czech Republic,25.608670268580724
hk,Hong Kong,25.746003068327667
hu,Hungary,22.197356415086549
kh,Cambodia,22.102373279600585
la,Laos,23.588297556559258
mm,Myanmar,22.463723838032436
my,Malaysia,27.97450562721761
no,Norway,26.045922860562353
ph,Philippines,22.379882555652941
pk,Pakistan,19.254607570952846
se,Sweden,25.850832554849418
sg,Singapore,23.474844718674586
t3,Turkey,24.724212311183834
