lg_country_code,report_date,sessions,transactions,successful_orders,gmv_eur,healthy_ns,total_availability_sessions
my,2025-10-23,1074911,221770,232096,1427776.75,877643,972365
cz,2025-12-11,140822,46729,45820,837049.7,115917,124555
mm,2025-12-11,122455,30125,33207,201842.77,108416,112678
kh,2025-09-17,149160,26121,29023,164731.48,125141,130814
hu,2026-04-05,85175,19810,18523,370144.54,51071,77009
hk,2026-04-05,352477,92779,84934,1738983.78,321313,333853
la,2026-05-26,36380,10446,11649,49426.12,29113,34376
pk,2026-02-17,963517,255125,252959,1142430.39,811340,856024
tw,2025-10-22,1493873,414547,445386,3586557.57,1323593,1400386
la,2025-11-18,33172,8655,9279,37881.93,27947,30229
cz,2026-01-22,131907,41640,41037,756505.3,109971,116890
mm,2025-08-21,125831,31093,34550,203042.31,104594,108715
cz,2025-07-14,114939,34840,34469,593229.58,88002,95882
bd,2025-07-14,296726,57985,65073,270427.82,219150,255811
t3,2026-03-25,1969032,622548,375860,3792304.46,1824356,1878318
no,2025-11-03,70561,15092,14414,503076.8,58477,62814
my,2026-06-09,974113,217624,249255,1503814.15,853791,895293
se,2026-05-28,175961,49832,44028,1305612.89,139195,165280
at,2025-07-13,131359,45978,38530,1141267.26,107254,115124
se,2026-03-11,163776,40028,36642,1112604.48,129887,148624
tw,2026-03-11,1219886,390747,423122,3304871.67,1125720,1149410
mm,2025-08-20,127175,31045,34433,201910.63,105919,110334
my,2026-01-23,865996,213899,243119,1534646.24,789228,814058
sg,2026-01-23,218843,66574,63370,1296542.56,205681,206231
sg,2026-02-15,247478,70099,70134,1566204.95,229822,230922
hk,2026-02-15,340798,94887,84074,1707847.38,316364,324196
bd,2026-01-08,288475,69216,73853,332384.23,240562,263316
sg,2026-03-10,237952,69005,65286,1258137.54,217828,218579
my,2026-05-24,1086432,240736,270820,1818453.49,965708,999855
my,2025-07-02,993487,199815,231552,1385082.09,852609,884323
se,2026-04-03,184204,48925,43946,1361674.99,145695,166776
t3,2025-12-13,1813866,607273,374564,3722495.15,1675952,1735149
tw,2025-08-23,1546573,464582,522849,4507622.8,1395427,1424435
la,2025-12-27,29346,9459,10456,43194.44,25080,27173
at,2025-09-30,101325,36639,31020,926887,82192,88803
se,2026-01-09,197894,55810,46808,1499762.93,163189,181497
hk,2026-03-22,409216,113812,102311,2121919.89,374420,386205
mm,2025-09-19,123779,30125,34213,204433.28,101174,107067
se,2026-05-11,143942,40909,36758,1045727.84,111215,132434
pk,2025-12-12,954916,263902,258204,1115406.86,842268,876850
hu,2026-05-25,147192,41871,36892,792371.14,95341,134930
hk,2026-05-25,387536,106567,94682,1949488.14,355506,367067
ph,2025-10-10,1323742,342858,386361,2505689.59,1122485,1222453
hk,2026-04-04,341847,88819,80517,1647634.19,308649,324187
sg,2025-12-26,204954,60767,59519,1211850.68,189031,190166
hk,2026-03-23,315552,81251,64381,1264082.17,288666,294641
no,2026-05-22,89511,22879,21413,897096.05,80470,83970
pk,2026-05-22,1123277,294350,290104,1406353.68,981587,1014210
tw,2025-10-27,1371482,400486,429012,3382474.6,1242993,1277553
cz,2025-10-27,128339,37877,37434,690214.6,90713,101216
tw,2025-07-19,1665883,491399,537205,4863069.73,1493682,1559279
bd,2025-10-13,276095,61573,66817,283151.25,221088,247209
ph,2025-07-30,1170366,300006,332459,2171851.47,973187,1049232
pk,2025-12-01,880749,231101,227010,980839.11,766489,796179
cz,2025-12-01,122547,37199,36787,652608.27,99089,107005
my,2025-08-11,966749,200338,230608,1303516.64,829093,862708
cz,2026-03-09,124956,35746,35461,633212.24,102491,109220
ph,2026-03-09,1189321,313167,341793,2116858.66,1037744,1091906
t3,2026-06-04,1947558,611318,378987,3783315.57,1809107,1870221
la,2025-07-18,35124,9289,10437,40804.8,28902,30196
pk,2026-04-02,1208085,245488,240245,1068953.08,824576,1111818
tw,2025-10-12,1643299,520331,565270,4823956.58,1516432,1547974
pk,2026-04-17,1135930,293291,292692,1347829.32,990111,1027323
mm,2026-03-21,138212,32424,37766,258110.8,114736,123683
mm,2025-07-07,126524,29879,34603,197248.44,102683,107713
kh,2025-10-11,146572,26370,29221,183879.9,119310,124727
sg,2025-10-11,260345,77986,79682,1641357.13,240511,241439
pk,2026-05-23,1144696,298886,295072,1465185.04,1001317,1030231
no,2026-05-23,101945,26504,24918,1053582.49,90897,95567
kh,2025-08-14,141269,26753,29023,162538.05,120230,124022
t3,2026-06-01,1983171,593387,360944,3608718.42,1830436,1907079
at,2026-06-01,103880,35810,30550,928753.42,82317,95116
t3,2026-04-27,1880610,611899,398091,3744107.91,1749155,1800105
bd,2025-12-17,249918,60350,65196,277092.58,202557,224242
kh,2025-11-21,137393,24847,26882,158773.03,118976,122565
no,2025-10-14,73569,15651,14750,517940.48,61903,66303
mm,2025-10-14,119122,29492,32677,196898.7,97876,105254
sg,2026-01-19,202071,59350,55538,1111577.23,187741,188125
pk,2026-01-05,948448,248039,244501,1068338.12,807932,855286
t3,2025-08-12,1813192,610504,386975,3618779.54,1580189,1665713
se,2025-08-12,144714,38051,32116,919551.89,106299,124935
t3,2025-11-09,1957244,646720,386859,3934744.7,1763580,1849009
se,2025-11-09,212574,62504,52150,1553242.27,153768,184897
hu,2025-07-06,117831,33962,30806,580336.37,80354,98007
at,2025-09-09,94087,32451,27761,807666.88,76255,82262
tw,2025-12-16,1240021,416742,445014,3441414.97,1169363,1181588
hu,2025-12-16,129311,41500,37501,682580.79,107277,116462
my,2025-11-24,1056597,209560,223891,1363990.31,850208,971579
hk,2026-03-19,334370,80927,65347,1308443.77,301906,308479
ph,2026-04-25,1410352,385546,428267,2701922.96,1244425,1309331
no,2025-12-30,75096,17223,17018,650159.69,63562,69132
hk,2025-07-09,342515,79903,66983,1312828.36,309425,315272
ph,2025-12-19,1325544,369309,411675,2798122.79,1090622,1221531
tw,2025-12-19,1268607,427424,460345,3637644.5,1192569,1209868
my,2025-12-19,889851,211879,236980,1524731.53,787432,827527
sg,2026-01-02,201168,59612,57756,1170067.11,186835,187757
t3,2026-06-28,1926281,588083,355003,3832233.21,1754620,1853202
se,2025-11-23,198336,64587,53701,1594510.53,152520,181399
bd,2025-11-23,273221,62832,67178,284022.05,222083,245910
hk,2025-12-04,296246,81218,63605,1242515.96,275754,281439
ph,2026-01-17,1258509,352153,385795,2542973.96,1085597,1182920
la,2026-04-26,35465,9871,10908,47374.3,27441,32686
la,2026-01-03,32759,10026,11078,46424.53,27258,30291
no,2025-11-26,78117,18109,17400,606878.67,67723,71687
hu,2025-09-25,124347,37932,33824,582037.3,95726,103969
kh,2025-09-25,144548,27574,30433,174575.98,118524,128192
la,2026-03-16,34262,8298,9578,41445.89,27296,31157
kh,2025-10-30,149344,26266,28471,159896.51,120668,124329
tw,2026-06-26,1365021,299652,315095,2601236.66,883660,1313751
at,2025-12-07,142750,50633,40055,1267007.66,120038,129976
sg,2025-12-07,260107,80968,81299,1681732.47,242761,245987
kh,2025-11-11,145546,25500,27874,156488.2,120679,124825
pk,2026-03-03,837119,210805,209297,978497.54,691863,757007
la,2025-08-03,37584,10240,11444,46607.9,31226,33911
ph,2025-11-25,1310618,333886,369636,2305829.14,1110876,1204150
t3,2026-03-18,1917217,533726,357845,3801800.46,1618681,1690078
mm,2025-07-21,130207,30638,34237,195265.15,105731,110963
se,2026-01-01,385382,105765,77300,2507786.17,274304,360878
t3,2026-01-01,2019097,499060,234104,2446846.81,1464027,1942080
at,2026-04-10,116959,40678,35331,1120054.34,99820,105245
pk,2025-08-06,925294,228057,227889,941467.1,763304,801582
cz,2026-03-14,143006,36367,42171,860631.64,113655,124610
my,2026-06-23,908877,196194,225571,1357564.33,369496,387887
bd,2026-06-23,312750,70594,75439,346485.3,120799,139416
at,2025-11-14,114537,42789,35532,1092418.05,94872,100884
se,2025-09-13,213288,62692,52078,1606554.29,166846,188519
t3,2026-02-07,1986645,626918,376645,3907664.71,1701257,1755049
la,2026-02-07,34122,10729,11824,51670.56,28884,31497
bd,2025-10-07,288300,64472,71158,298079.8,226062,259938
my,2026-03-29,1142918,244909,270549,1818415.31,920336,1032841
la,2025-11-13,32735,9131,9997,41319.17,28028,29870
t3,2026-05-03,2256909,644999,368428,3847359.52,2078331,2181533
kh,2025-09-26,148199,26765,29718,171474.55,119031,125251
my,2026-02-09,876596,207078,232219,1445648.1,792207,816713
at,2025-07-23,92446,31275,26810,792534.09,72969,79011
at,2025-10-31,107106,38925,32589,1043505,76628,83472
tw,2026-06-21,1482031,460293,498937,4273625.57,120239,131189
se,2026-04-08,163979,42894,39157,1156453.27,133664,150105
at,2025-10-20,94554,32048,27352,809269.87,76897,82708
pk,2025-09-29,859948,213888,217733,894051.62,726297,756828
my,2025-09-15,947871,187334,208207,1339634.07,811770,857718
pk,2025-09-28,1035442,263334,271629,1180744.98,889987,924758
bd,2026-06-22,320639,73672,77494,369132.87,242850,272107
mm,2025-11-15,121010,30778,34247,215830.87,101859,107432
la,2026-03-27,35757,9016,9877,42011.86,27295,32521
pk,2025-11-29,976415,266659,265239,1175862.89,857458,887894
hk,2025-11-29,323134,94549,81263,1678518.81,299320,307908
t3,2025-07-25,1819902,596514,368599,3454971.48,1576293,1660099
la,2026-01-25,33080,9971,11010,47421.35,27911,30779
hk,2025-12-11,291888,80389,63189,1256400.32,273074,278995
ph,2025-07-15,1193950,291129,331280,2167705.84,1016757,1080412
hk,2025-07-15,335563,78034,64754,1261794.38,302893,309523
no,2026-02-17,75875,16093,16293,614407.55,66289,69763
se,2025-10-22,167759,46798,39631,1152100.31,127316,143840
no,2026-05-27,81992,17611,16481,648583.44,69398,77439
no,2026-01-22,74654,17763,17923,646281.28,65418,69052
la,2025-07-14,34932,8957,10102,38679.92,28227,29900
no,2025-09-16,68748,15232,14439,517543.46,57120,61734
no,2026-02-04,76755,16195,16285,601067.18,67637,71153
bd,2026-03-25,327672,68174,72073,331357.42,219037,299297
sg,2025-12-24,227916,66732,66737,1450574.65,211413,212163
ph,2026-06-09,1233185,320375,349118,2153468.13,1055395,1134595
hk,2026-05-28,329763,86160,67086,1359499.51,304914,310457
my,2025-11-17,969633,198277,219398,1319346.1,847128,878533
kh,2026-03-11,102415,24520,26455,156324.15,89814,92404
hk,2026-03-11,316777,82502,65134,1277654.15,288701,296598
la,2025-08-20,34330,9582,10569,40315.82,29702,31223
tw,2026-01-23,1250107,426382,461038,3675584.97,1179776,1195023
bd,2025-10-25,287513,66118,71621,309782.39,232600,256701
t3,2025-10-25,1914817,626416,377173,3766295.6,1725596,1790799
bd,2026-05-24,318274,70803,75664,368219.23,253161,286457
hu,2026-04-18,126349,39607,36584,786394.32,107240,114952
at,2026-06-06,92960,32580,27297,860535.15,74571,84690
hk,2026-06-06,386664,99770,86548,1860113.87,334370,364140
bd,2025-09-05,295907,68833,76095,350872.25,223346,266060
se,2026-03-22,201033,58526,51539,1579695.51,152612,182752
no,2025-11-06,75892,17279,16268,576602.59,64992,68593
tw,2025-09-19,1402515,422397,457434,3775637.29,1285580,1318692
ph,2026-05-11,1343203,347254,380082,2328854.99,1160770,1238207
hu,2025-12-12,146817,49620,44100,834577.93,120769,133536
pk,2025-10-10,945997,221449,217466,904749.19,701544,853066
sg,2025-10-10,231166,67909,66803,1321914.61,212320,213309
bd,2025-11-05,292506,66060,70691,301091.84,237340,261274
